/home/x_nanha/.conda/envs/CryoLigate/lib/python3.9/site-packages/timm/models/layers/__init__.py:49: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
--- Initializing Training on cuda ---
Available GPUs: 4
Loss Config: SmoothL1 (Weight=500.0) + SSIM (Weight=0.2)

--- Starting Epochs ---
Epoch 001 | Train: 0.56007 | Val: 0.45102 | Ligand MSE: 4.28509
Epoch 060 | Train: 0.29721 | Val: 0.32170 | Ligand MSE: 3.83874
Epoch 061 | Train: 0.28415 | Val: 0.32067 | Ligand MSE: 3.84281
Epoch 062 | Train: 0.29207 | Val: 0.31848 | Ligand MSE: 3.84881
Epoch 063 | Train: 0.28988 | Val: 0.31880 | Ligand MSE: 3.85120
Epoch 064 | Train: 0.28736 | Val: 0.31915 | Ligand MSE: 3.85460
Epoch 065 | Train: 0.28906 | Val: 0.31981 | Ligand MSE: 3.85649
Epoch 066 | Train: 0.31011 | Val: 0.31826 | Ligand MSE: 3.86585
Epoch 067 | Train: 0.31067 | Val: 0.31699 | Ligand MSE: 3.87449
Epoch 068 | Train: 0.28705 | Val: 0.31671 | Ligand MSE: 3.87794
Epoch 069 | Train: 0.30033 | Val: 0.31648 | Ligand MSE: 3.88175
Epoch 070 | Train: 0.29180 | Val: 0.31678 | Ligand MSE: 3.87927
Epoch 071 | Train: 0.28584 | Val: 0.31719 | Ligand MSE: 3.87660
Epoch 072 | Train: 0.29427 | Val: 0.31750 | Ligand MSE: 3.87426
Epoch 073 | Train: 0.28753 | Val: 0.31759 | Ligand MSE: 3.87342
Epoch 074 | Train: 0.29201 | Val: 0.31762 | Ligand MSE: 3.87298
Epoch 075 | Train: 0.29012 | Val: 0.31711 | Ligand MSE: 3.87543
Epoch 076 | Train: 0.29686 | Val: 0.31683 | Ligand MSE: 3.87669
Epoch 077 | Train: 0.28700 | Val: 0.31644 | Ligand MSE: 3.88014
Epoch 078 | Train: 0.28400 | Val: 0.31619 | Ligand MSE: 3.88397
Epoch 079 | Train: 0.28463 | Val: 0.31616 | Ligand MSE: 3.88557
Epoch 080 | Train: 0.29650 | Val: 0.31617 | Ligand MSE: 3.88822
Epoch 081 | Train: 0.29018 | Val: 0.31621 | Ligand MSE: 3.89006
Epoch 082 | Train: 0.29516 | Val: 0.31621 | Ligand MSE: 3.89057
